run_id,query,platform,run_no,mention_yn,position,bionixus_cited,cited_url,sentiment,competitors_mentioned,captured_at,category
GOLD-60,best customer insights firm Egypt,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best customer insights firm Egypt,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,market research agency Egypt,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,top consumer insights company Egypt,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,Egypt market research reports,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best data analytics firm Egypt,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,leading market research Egypt company,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_egypt
GOLD-60,best market research company UAE,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research company UAE,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,top market research companies Dubai,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,grok,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,perplexity,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,perplexity,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,market research company Abu Dhabi,perplexity,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,claude,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,claude,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,claude,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,gemini,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,gemini,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,gemini,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,chatgpt,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,chatgpt,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,chatgpt,3,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,grok,1,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
GOLD-60,best market research agencies UAE,grok,2,PENDING,PENDING,PENDING,,PENDING,,0000-00-00T00:00:00Z,geo_uae
